부처,SEED_ID,기관,게시판명,URL,수집결과,etc_2,etc_1,Crawler,TR,Title,Date,DateFormat,ClickCSS,날짜수정,a_href,click,content_Title,content_WriteDate,content_StartDate,content_EndDate,content_Body,content_Files,content_File_url,
과학기술정보통신부,756,국가핵융합연구소,사업공고,https://www.nfri.re.kr/kor/post/business_notice,X,verify=False,타이틀에 불필요한 정보 (진행중),,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,379,한국정보통신기술협회,공지사항,http://www.tta.or.kr/news/notice.jsp,X,,,,table.board_list > tbody > tr,td.t_left a,td:nth-of-type(3),YYYY .MM .DD,,,,,,,,,,,,
과학기술정보통신부,,한국정보통신기술협회,입찰공고,http://www.tta.or.kr/news/tender.jsp,X,추가,,,table.board_list > tbody > tr,td.t_left a,td:nth-of-type(3),YYYY .MM.DD,,,,,,,,,,,,
과학기술정보통신부,,BK21,공지사항,https://bkplus.nrf.re.kr/board/boardList.jsp?menuId=11&boardId=BOARD_NOTICE,X,,,,div.basic-list table > tbody > tr,td.left a,td:nth-of-type(4),YYYY/MM/DD,,,,,,,,,,,,
과학기술정보통신부,497,한국과학기술정보연구원,연구과제공모,https://www.kisti.re.kr/notifications/post/research-task,X,,,,div.bbs_list_box > div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,757,한국과학기술정보연구원,공지사항,http://www.kisti.re.kr/notifications/post/notice,X,,,,div.bbs_list_box > div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,700,국가연구시설장비진흥센터,사업공고,http://www.nfec.go.kr/cop/bbs/BBSMSTR_000000000003/selectBoardList.do,X,수정,,,table.basic_table > tbody > tr,div.list_subject a,td.date,YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,,정보통신기술진흥센터,입찰공고,https://www.iitp.kr/kr/1/notice/bid.it,X,,,O,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,,정보통신기술진흥센터,공지사항,https://www.iitp.kr/kr/1/notice/notify.it,X,추가,,O,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,701,정보통신기술진흥센터,사업공고,https://www.iitp.kr/kr/1/business/businessApiList.it,X,추가,Date 불필요한 정보 있음 가공 필요,O,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(3),YYYY.MM.DD,,2018.02.20~2018.03.19,,,,,,,,,,
과학기술정보통신부,,정보통신기술진흥센터,사업공고,https://www.iitp.kr/kr/1/business/businessApiList.it?pageIndex=1&pageSize=10,X,추가,Date 불필요한 정보 있음 가공 필요,O,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(3),YYYY.MM.DD,,2018.02.20~2018.03.19,,,,,,,,,,
산업통상자원부,,산업통상자원부,공고,http://www.motie.go.kr/motie/ms/nt/announce3/bbs/bbsList.do?bbs_cd_n=6,X,수정,타이틀에 … 표시,,div.common_list table > tbody > tr,td.al a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,386,산업통상자원부,사업공고,http://www.motie.go.kr/motie/ne/announce2/bbs/bbsList.do?bbs_cd_n=6&biz_anc_yn_c=Y,X,추가,타이틀에 … 표시,,div.common_list table > tbody > tr,td.al a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,387,한국산업기술평가관리원,공지,http://www.keit.re.kr/articles.do?psStep=list&bbsCD=notice&shCategoryCD=&gbn=03_31,X,수정,,,div.pc_board table.table_col > tbody > tr,td.lf a,td:nth-of-type(5),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,388,산업기술R&D정보포탈,사업공고-지원사업공고,https://itech.keit.re.kr/index.do#02010100,X,추가,NoDate,X,,,,,,,,,,,,,,,,
산업통상자원부,,산업기술R&D정보포탈,사업공고-과제기획공고,https://itech.keit.re.kr/index.do#00010000,X,추가,Ajax,,#sub_con table > tbody > tr,td:nth-of-type(4) a,td:nth-of-type(5),YYYY-MM-DD,"#header_mainmenu > div > ul > li:nth-child(2) > a,#inbmenu ul > li:nth-child(2) a",,,,,,,,,,,
산업통상자원부,,한국세라믹기술원,공지사항,http://www.kicet.re.kr/Front/BoardEx/List?MenuNo=5050100&SettingNo=1,X,,Date 불필요한 정보 있음 가공 필요,,div.contents-body table > tbody > tr,td.subject a,td.period,YYYY-MM-DD,,"2017-12-07
  ~
  2018-12-31",,,,,,,,,,
산업통상자원부,,한국세라믹기술원,입찰공고,http://www.kicet.re.kr/Front/BoardEx/List?MenuNo=5050200&SettingNo=7,X,추가,Date 불필요한 정보 있음 가공 필요,,div.contents-body table > tbody > tr,td.subject a,td.period,YYYY-MM-DD,,"2017-12-27
  ~
  2018-01-08",,,,,,,,,,
산업통상자원부,397,한국디자인진흥원,사업부 전체소식,http://kidp.or.kr/?menuno=1202,X,수정,,,table.board01-list > tbody > tr,td.left a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,,한국디자인진흥원,입찰정보,http://kidp.or.kr/?menuno=1012,X,추가,,,table.board01-list > tbody > tr,td.left a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,394,한국산업기술진흥원,입찰공고,http://www.kiat.or.kr/site/contents/inform/index3.jsp?menuID=001001003&boardTypeID=306,X,,타이틀에 … 표시,O,table.sub5_tab > tbody > tr,td:nth-of-type(3) a,td:nth-of-type(4),YYYY-MM-DD,,,http://www.kiat.or.kr/site/contents/inform/index3_read.jsp?menuID=001001003&boardTypeID=306&boardID=,,#oForm tbody > tr:nth-of-type(1) > td.borrt_no,,#oForm tbody > tr:nth-of-type(3) > td.txt_center,,#oForm tbody > tr:nth-of-type(4) > td,,,
산업통상자원부,395,한국산업기술진흥원,사업공고,http://www.kiat.or.kr/site/contents/inform/index2.jsp?menuID=001001002&boardTypeID=304,X,,,O,table.sub5_tab > tbody > tr,td:nth-of-type(3) a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,758,한국제품안전협회,공고게시판,http://www.ksafety.kr/community/announce_list.asp,X,,Ajax,,div#content tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,403,한국소재부품투자기관협의회,공지사항,http://www.kitia.or.kr/contents/information/notice_list.asp,X,tr th,Ajax,,#DIV_LIST > table > tbody > tr,td:nth-of-type(3) a,td:nth-of-type(5),YYYY-MM-DD,#submenu > div.sub_list > ul > li:nth-child(1) > a,,,,,,,,,,,
산업통상자원부,417,국토연구원,입찰/위탁공고/견적,http://www.krihs.re.kr/notice/bidconList.do?ref=1,X,수정,,,div.prg_list table > tbody > tr,td.text_l a,td:nth-of-type(3),YYYY.MM.DD,,,,,,,,,,,,
산업통상자원부,759,국토연구원,공지사항,http://www.krihs.re.kr/notice/bidconList.do?ref=3,X,,,,div.prg_list table > tbody > tr,td.text_l a,td:nth-of-type(3),YYYY.MM.DD,,,,,,,,,,,,
산업통상자원부,413,대외경제정책연구원,공지사항,http://www.kiep.go.kr/sub/list.do?bbsId=notice,X,,,,table.brdList > tbody > tr,td.al a,td:nth-of-type(3),YYYY.MM.DD,,,,,,,,,,,,
산업통상자원부,414,산업연구원,공지사항,http://www.kiet.re.kr/kiet_web/?sub_num=48,X,,,,table.tbrd > tbody > tr,td.tt a,td.dt,YYYY.MM.DD,,,,,,,,,,,,
산업통상자원부,415,에너지경제연구원,알립니다,http://www.keei.re.kr/main.nsf/index_mobile.html?open&p=%2Fweb_keei%2Fallim.nsf%2Floadview&s=%3Fopenpage%26viewname%3Dmain_notice%26restricttocategory%3D%25EC%2595%258C%25EB%25A6%25BD%25EB%258B%2588%25EB%258B%25A4%26Count%3D12%26start%3D1%26category%3Dnt,X,Selenium 적용 불가능,Ajax,X,,,,,,,,,,,,,,,,
산업통상자원부,416,한국개발연구원,공지사항,http://www.kdi.re.kr/news/notice_list.jsp?board_div=total,X,,,,div.rpt_conts ul > li.Js_AjaxParents,a:nth-of-type(1),div.rpt_sup span,YYYY/MM/DD,,,,,,,,,,,,
산업통상자원부,417,한국교육개발원,공지사항,https://www.kedi.re.kr/khome/main/announce/listNoticeAnnounceForm.do,X,,Ajax,,#listAnnounceBody tbody > tr,td.tlink a,td:nth-of-type(4),YYYY.MM.DD,,,,,,,,,,,,
산업통상자원부,760,한국교육개발원,입찰공고,https://www.kedi.re.kr/khome/main/announce/listBidAnnounceForm.do,X,,Ajax,,#listAnnounceBody tbody > tr,td.tlink a,td:nth-of-type(4),YYYY.MM.DD,,,,,,,,,,,,
산업통상자원부,761,한국교통연구원,입찰공고,https://www.koti.re.kr/user/bbs/BD_selectBbsList.do?q_bbsCode=1009,X,웹크롤링 적용중,,X,ul.list_news03 > li,p.tit a,td:nth-of-type(2),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,419,한국환경정책평가연구원,공지사항,http://www.kei.re.kr/home/board/notice/list.kei,X,,,,table#dataList > tbody > tr,td.tl a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
산업통상자원부,762,한국환경정책평가연구원,입찰안내,http://www.kei.re.kr/home/board/bidding/list.kei,X,,,,table#dataList > tbody > tr,td.tl a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
고용노동부,420,고용노동부,공지사항,http://www.moel.go.kr/news/notice/noticeList.do,X,수정,,,table.tbl > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(5),YYYY.MM.DD,,,,,,,,,,,,
고용노동부,421,한국고용정보원,공지사항,http://www.keis.or.kr/user/bbs/main/133/761/bbsDataList.do,X,,,,div.seed_tbl table > tbody > tr,td.bbsTitle a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
고용노동부,,한국고용정보원,입찰공고,http://www.keis.or.kr/user/extra/main/767/openApi/bidList/jsp/LayOutPage.do,X,추가,NoDate,X,,,,,,,,,,,,,,,,
중소벤처기업부,422,중소벤처기업부,공지사항,http://www.smba.go.kr/site/smba/ex/bbs/List.do?cbIdx=81,X,,,,table.list > tbody > tr,td.subject a,td:nth-of-type(5),YYYY.MM.DD,,,,,,,,,,,,
중소벤처기업부,763,한국산학연협회,지원사업,https://plus.auri.go.kr/post/support-business,X,수정,Date 불필요한 정보 있음 가공 필요,,div.tab-content div.business_list,a.title strong,div.sub_info p,YYYY-MM-DD,,"2018-02-20 ~ 2018-02-27
  
  / 오늘 마감",,,,,,,,,,
환경부,427,환경부,공지 공고,http://www.me.go.kr/home/web/index.do?menuId=290,X,page=1,,O,table.table_case01 > tbody > tr,td.al a,td:nth-of-type(5),YYYY-MM-DD,,,,,,,,,,,,
환경부,427,환경부,공지 공고,http://www.me.go.kr/home/web/board/list.do?menuId=290&maxPageItems=10&maxIndexPages=10&boardMasterId=39&pagerOffset=10,X,page=2,,O,table.table_case01 > tbody > tr,td.al a,td:nth-of-type(5),YYYY-MM-DD,,,,,,,,,,,,
환경부,430,국립환경과학원,공지사항,http://www.nier.go.kr/NIER/cop/bbs/selectNoLoginBoardList.do?bbsId=BBSMSTR_000000000012&menuNo=16001,X,웹크롤링 적용중,,X,div#contents table.bbs_default > tbody > tr,td.subject a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
환경부,764,국립환경과학원,입찰공고,http://www.nier.go.kr/NIER/cop/bbs/selectNoLoginBoardList.do?bbsId=BBSMSTR_000000000023&menuNo=16004,X,"웹크롤링 적용중, 마감일: 예정중",,X,div#contents table.bbs_default > tbody > tr,td.subject a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
보건복지부,431,보건복지부,공지사항,http://www.mohw.go.kr/react/al/sal0101ls.jsp?PAR_MENU_ID=04&MENU_ID=040102,X,,,,div.board_list table > tbody > tr,td.ta_l a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
보건복지부,765,보건복지부,입찰안내,http://www.mohw.go.kr/react/al/sal0201ls.jsp?PAR_MENU_ID=04&MENU_ID=0402,X,,,,div.board_list table > tbody > tr,td.ta_l a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
